time	coordination	charge	err	sec	mT
0	3	-0.0017777777777777779	0.011547255909955841	0	0.0
0	4	0.0067555555555555554	0.018808239069570427	0	0.0
5	3	-0.0017777777777777779	0.011547255909955841	5	0.0625
5	4	0.0067555555555555554	0.018808239069570427	5	0.0625
10	3	-0.0018666666666666666	0.011547255286498385	10	0.125
10	4	0.0067555555555555554	0.018808239069570427	10	0.125
15	3	-0.0018666666666666666	0.011547255286498402	15	0.1875
15	4	0.0067555555555555554	0.018808239069570437	15	0.1875
20	3	-0.0012444444444444445	0.011547259012036312	20	0.25
20	4	0.005511111111111111	0.018822554174115866	20	0.25
25	3	-0.0012444444444444445	0.011547259012036305	25	0.3125
25	4	0.005688888888888889	0.018793139638161004	25	0.3125
30	3	-0.0022222222222222222	0.011548620972962552	30	0.375
30	4	0.007288888888888889	0.01880233859904885	30	0.375
35	3	-0.0018666666666666666	0.011553412188399401	35	0.4375
35	4	0.0067555555555555554	0.01880823906957045	35	0.4375
40	3	-0.0024	0.011554091709271488	40	0.5
40	4	0.008355555555555555	0.018800618017517944	40	0.5
45	3	-0.002311111111111111	0.011552724678442029	45	0.5625
45	4	0.007822222222222222	0.018796434931019644	45	0.5625
50	3	-0.002488888888888889	0.011549302736995726	50	0.625
50	4	0.007822222222222222	0.018786342729277133	50	0.625
55	3	-0.0008	0.011554785413993017	55	0.6875
55	4	0.004977777777777778	0.018786428872333494	55	0.6875
60	3	-0.0013333333333333333	0.011547942833175381	60	0.75
60	4	0.006044444444444444	0.018779669928664623	60	0.75
65	3	-0.0009777777777777777	0.01154726015250686	65	0.8125
65	4	0.005688888888888889	0.018784728371230873	65	0.8125
70	3	-0.001511111111111111	0.011547941860031411	70	0.875
70	4	0.0071111111111111115	0.018791414626020873	70	0.875
75	3	-0.002311111111111111	0.011544514257338627	75	0.9375
75	4	0.008355555555555555	0.018785481052646272	75	0.9375
80	3	-0.0014222222222222223	0.011543836180519192	80	1.0
80	4	0.0071111111111111115	0.01878636785437608	80	1.0
85	3	-0.0008888888888888889	0.011541100288143908	85	1.0625
85	4	0.005511111111111111	0.01878220896861615	85	1.0625
90	3	-0.00044444444444444447	0.011548630095647827	90	1.125
90	4	0.004977777777777778	0.0187813807609598	90	1.125
95	3	-0.00017777777777777779	0.011550682835893914	95	1.1875
95	4	0.005333333333333333	0.018783054939834662	95	1.1875
100	3	-0.0008	0.011547260760757787	100	1.25
100	4	0.006044444444444444	0.018794811573699655	100	1.25
105	3	-0.0006222222222222223	0.011547945509320978	105	1.3125
105	4	0.005688888888888889	0.01877462987669089	105	1.3125
110	3	-0.00035555555555555557	0.011540416898394542	110	1.375
110	4	0.005333333333333333	0.018764535230592974	110	1.375
115	3	0.0	0.011543840074479138	115	1.4375
115	4	0.004622222222222222	0.018759498001771045	115	1.4375
120	3	0.0	0.011552050974746413	120	1.5
120	4	0.004088888888888889	0.018760351436852188	120	1.5
125	3	-0.00017777777777777779	0.011553418830000469	125	1.5625
125	4	0.004088888888888889	0.018772141446944505	125	1.5625
130	3	0.0002666666666666667	0.011546577553132849	130	1.625
130	4	0.0033777777777777777	0.018768786202675226	130	1.625
135	3	0.0011555555555555555	0.011554100219746509	135	1.6875
135	4	0.0016	0.018767123026925493	135	1.6875
140	3	0.00044444444444444447	0.01155547008135515	140	1.75
140	4	0.0026666666666666666	0.018773847877070357	140	1.75
145	3	0.0011555555555555555	0.01155204840595165	145	1.8125
145	4	0.0014222222222222223	0.018764597816820612	145	1.8125
150	3	0.0012444444444444445	0.011552047995552444	150	1.875
150	4	0.0012444444444444445	0.018748589977957215	150	1.875
155	3	0.0019555555555555554	0.011556146882946898	155	1.9375
155	4	-0.0005333333333333334	0.01876881254882791	155	1.9375
160	3	0.001511111111111111	0.01155136256292567	160	2.0
160	4	0.0010666666666666667	0.018767968480541443	160	2.0
165	3	0.0013333333333333333	0.011556834553967337	165	2.0625
165	4	0.0008888888888888889	0.018773862842443922	165	2.0625
170	3	0.0008888888888888889	0.011552049454749568	170	2.125
170	4	0.0021333333333333334	0.018766276187792846	170	2.125
175	3	-0.00035555555555555557	0.011548630232488106	175	2.1875
175	4	0.004088888888888889	0.018775508661431527	175	2.1875
180	3	-0.00017777777777777779	0.011549314595785174	180	2.25
180	4	0.0026666666666666666	0.01876037420058003	180	2.25
185	3	-0.0008	0.011555469230408776	185	2.3125
185	4	0.004266666666666667	0.018759505490183095	185	2.3125
190	3	-0.0012444444444444445	0.011551363976606699	190	2.375
190	4	0.005333333333333333	0.01877295554510951	190	2.375
195	3	-0.0018666666666666666	0.011549992092532393	195	2.4375
195	4	0.0067555555555555554	0.018751014107092286	195	2.4375
200	3	-0.0016	0.011550677971327297	200	2.5
200	4	0.005688888888888889	0.01876789452826131	200	2.5
205	3	-0.0016888888888888889	0.011546572200207	205	2.5625
205	4	0.006044444444444444	0.018751035683468698	205	2.5625
210	3	-0.001511111111111111	0.011547257597852651	210	2.625
210	4	0.005866666666666667	0.018765363283396688	210	2.625
215	3	0.00017777777777777779	0.011554786584113444	215	2.6875
215	4	0.002311111111111111	0.018746895036686684	215	2.6875
220	3	-0.0006222222222222223	0.011556837228053961	220	2.75
220	4	0.003022222222222222	0.01874014072477696	220	2.75
225	3	-0.0010666666666666667	0.011561620801339864	225	2.8125
225	4	0.004266666666666667	0.01875613540271054	225	2.8125
230	3	-0.0009777777777777777	0.011556836134109492	230	2.875
230	4	0.0044444444444444444	0.018763713579836815	230	2.875
235	3	0.0002666666666666667	0.011555470324482637	235	2.9375
235	4	0.0021333333333333334	0.018756167758428904	235	2.9375
240	3	0.0002666666666666667	0.011554102651309671	240	3.0
240	4	0.0026666666666666666	0.01875363373223968	240	3.0
245	3	0.0006222222222222223	0.011554785900276846	245	3.0625
245	4	0.0019555555555555554	0.018765435748443356	245	3.0625
250	3	0.0016	0.01155478172127452	250	3.125
250	4	-0.00035555555555555557	0.018756178244066432	250	3.125
255	3	0.0012444444444444445	0.011557518689733504	255	3.1875
255	4	0.0	0.018746064669346207	255	3.1875
260	3	0.0017777777777777779	0.011553412811524588	260	3.25
260	4	-0.0017777777777777779	0.01873593783762534	260	3.25
265	3	0.0007111111111111111	0.011550681923787836	265	3.3125
265	4	0.00035555555555555557	0.01872413223369568	265	3.3125
270	3	0.0018666666666666666	0.011553412188399401	270	3.375
270	4	-0.002311111111111111	0.01870807625373292	270	3.375
275	3	0.0028444444444444446	0.011550667330080706	275	3.4375
275	4	-0.0037333333333333333	0.018711434576263196	275	3.4375
280	3	0.004088888888888889	0.011547229815951665	280	3.5
280	4	-0.006577777777777778	0.01871136490515265	280	3.5
285	3	0.003288888888888889	0.011539026852255	285	3.5625
285	4	-0.004622222222222222	0.018720705352026332	285	3.5625
290	3	0.003022222222222222	0.011543137984436236	290	3.625
290	4	-0.004266666666666667	0.018681839669424508	290	3.625
295	3	0.0036444444444444445	0.01154997324119802	295	3.6875
295	4	-0.005688888888888889	0.01869364553031891	295	3.6875
300	3	0.004622222222222222	0.01155269385466528	300	3.75
300	4	-0.007288888888888889	0.0186927507224831	300	3.75
305	3	0.0067555555555555554	0.011552647162870498	305	3.8125
305	4	-0.012622222222222222	0.01866203661098181	305	3.8125
310	3	0.0056	0.011543779702741376	310	3.875
310	4	-0.0096	0.018664736913911933	310	3.875
315	3	0.006222222222222222	0.01154992430359855	315	3.9375
315	4	-0.010844444444444445	0.018646886594033765	315	3.9375
320	3	0.007911111111111112	0.011551246549280886	320	4.0
