frame	Chi	count	err	time(s)	field(mT)
0	-1.0	0.031842105263157894	0.002033205606464655	0.0	0.0
0	-0.6	0.16294736842105265	0.0038231068030106035	0.0	0.0
0	-0.2	0.33392105263157895	0.0052330570498895735	0.0	0.0
0	0.2	0.32673684210526316	0.00559597547252139	0.0	0.0
0	0.6	0.1650263157894737	0.0035267185591678794	0.0	0.0
0	1.0	0.03215789473684211	0.0017815741479610483	0.0	0.0
5000	-1.0	0.03178947368421053	0.0020716980570579875	50.0	0.625
5000	-0.6	0.16292105263157897	0.003762864943191539	50.0	0.625
5000	-0.2	0.3342894736842105	0.005258060098316912	50.0	0.625
5000	0.2	0.3262894736842106	0.005316917971057134	50.0	0.625
5000	0.6	0.16513157894736843	0.0033743088479353837	50.0	0.625
5000	1.0	0.032210526315789474	0.0017837147491378896	50.0	0.625
10000	-1.0	0.031947368421052634	0.00211169800680204	100.0	1.25
10000	-0.6	0.16310526315789473	0.0036872398164427347	100.0	1.25
10000	-0.2	0.33431578947368423	0.005225320489813761	100.0	1.25
10000	0.2	0.32526315789473687	0.005317921321731426	100.0	1.25
10000	0.6	0.1658421052631579	0.003482225933277865	100.0	1.25
10000	1.0	0.03215789473684211	0.0018324127390899417	100.0	1.25
15000	-1.0	0.031947368421052634	0.0020245678568688525	150.0	1.875
15000	-0.6	0.16331578947368422	0.0037411587600177923	150.0	1.875
15000	-0.2	0.33392105263157895	0.005064936736854743	150.0	1.875
15000	0.2	0.32542105263157894	0.0052540468938245865	150.0	1.875
15000	0.6	0.16571052631578947	0.0035310439309097835	150.0	1.875
15000	1.0	0.03231578947368421	0.0018893736004777211	150.0	1.875
20000	-1.0	0.031947368421052634	0.0021300235669414916	200.0	2.5
20000	-0.6	0.1631578947368421	0.003949158205058018	200.0	2.5
20000	-0.2	0.33431578947368423	0.004943173027459142	200.0	2.5
20000	0.2	0.3249473684210526	0.0052865751873804444	200.0	2.5
20000	0.6	0.16599999999999998	0.0035429812838074204	200.0	2.5
20000	1.0	0.03226315789473684	0.0018969881600503892	200.0	2.5
25000	-1.0	0.03226315789473684	0.002177921789391846	250.0	3.125
25000	-0.6	0.16347368421052633	0.00415456909245021	250.0	3.125
25000	-0.2	0.33302631578947367	0.004907599202650635	250.0	3.125
25000	0.2	0.3253157894736842	0.005090175586431833	250.0	3.125
25000	0.6	0.1660263157894737	0.003840009801865304	250.0	3.125
25000	1.0	0.03252631578947368	0.0018341087754772504	250.0	3.125
30000	-1.0	0.032210526315789474	0.00217954349789917	300.0	3.75
30000	-0.6	0.16442105263157894	0.004297865638596746	300.0	3.75
30000	-0.2	0.33234210526315794	0.0053800722852122874	300.0	3.75
30000	0.2	0.32436842105263153	0.0055400065695809485	300.0	3.75
30000	0.6	0.16647368421052633	0.0037142400532945703	300.0	3.75
30000	1.0	0.03281578947368421	0.001746017006169471	300.0	3.75
35000	-1.0	0.032710526315789475	0.0022525197729664275	350.0	4.375
35000	-0.6	0.16565789473684212	0.004506772499312901	350.0	4.375
