time	coordination	charge	err	sec	mT
0	3	-0.0067619047619047615	0.01199641499764867	0	0.0
0	4	0.012088888888888889	0.018618828827914293	0	0.0
10	3	-0.007142857142857143	0.012000184490684247	10	0.125
10	4	0.012088888888888889	0.018618828827914293	10	0.125
20	3	-0.007333333333333333	0.01198959199275026	20	0.25
20	4	0.012622222222222222	0.01862134362963282	20	0.25
30	3	-0.007333333333333333	0.011994130434229455	30	0.375
30	4	0.012977777777777777	0.01861792680249665	30	0.375
40	3	-0.008	0.01200620428498567	40	0.5
40	4	0.01368888888888889	0.01860599377100516	40	0.5
50	3	-0.008476190476190476	0.01200543319717394	50	0.625
50	4	0.014044444444444444	0.01860936749623359	50	0.625
60	3	-0.008476190476190476	0.012013741392244643	60	0.75
60	4	0.013866666666666666	0.0186051326513494	60	0.75
70	3	-0.007238095238095238	0.012007738218419583	70	0.875
70	4	0.0112	0.018604442896336736	70	0.875
80	3	-0.007333333333333333	0.012021325101561526	80	1.0
80	4	0.011377777777777778	0.01862565790416359	80	1.0
90	3	-0.008285714285714285	0.012016767456191482	90	1.125
90	4	0.014044444444444444	0.01862125310175876	90	1.125
100	3	-0.006857142857142857	0.01201454559736782	100	1.25
100	4	0.010844444444444445	0.01862823151021253	100	1.25
110	3	-0.006857142857142857	0.0120062379587989	110	1.375
110	4	0.012444444444444444	0.01862559726458594	110	1.375
120	3	-0.006952380952380952	0.012011522695571568	120	1.5
120	4	0.012622222222222222	0.018633221595922525	120	1.5
130	3	-0.006190476190476191	0.012011542545705448	130	1.625
130	4	0.010844444444444445	0.01861974574798434	130	1.625
140	3	-0.007904761904761904	0.012016779677390798	140	1.75
140	4	0.014933333333333333	0.018628828385184936	140	1.75
150	3	-0.007238095238095238	0.012016044819740886	150	1.875
150	4	0.013333333333333334	0.018616206683759746	150	1.875
160	3	-0.008285714285714285	0.01200317266118085	160	2.0
160	4	0.014577777777777778	0.01861357677404168	160	2.0
170	3	-0.008571428571428572	0.01199560377971179	170	2.125
170	4	0.016	0.018615170959195723	170	2.125
180	3	-0.006571428571428572	0.011990369556909006	180	2.25
180	4	0.0128	0.018601802563266302	180	2.25
190	3	-0.00819047619047619	0.011982754667293264	190	2.375
190	4	0.015644444444444443	0.018615197824619154	190	2.375
200	3	-0.009428571428571429	0.011984982059339986	200	2.5
200	4	0.018488888888888888	0.018623453935987605	200	2.5
210	3	-0.008761904761904762	0.011987276455725048	210	2.625
210	4	0.0176	0.0186175893711339	210	2.625
220	3	-0.010380952380952381	0.01197131364415598	220	2.75
220	4	0.020444444444444446	0.01864786563982788	220	2.75
230	3	-0.011714285714285714	0.011976557836115627	230	2.875
230	4	0.02311111111111111	0.018631479289479582	230	2.875
240	3	-0.010952380952380953	0.011961435154086696	240	3.0
240	4	0.022933333333333333	0.018639131361883336	240	3.0
250	3	-0.013428571428571429	0.011958281237000478	250	3.125
250	4	0.02737777777777778	0.018595304381047652	250	3.125
260	3	-0.014476190476190476	0.011933165130795557	260	3.25
260	4	0.02897777777777778	0.018614626171360154	260	3.25
270	3	-0.01380952380952381	0.011920273626564396	270	3.375
270	4	0.027911111111111112	0.01863852780742707	270	3.375
280	3	-0.013238095238095238	0.011906599564728252	280	3.5
280	4	0.026488888888888888	0.01862683784769367	280	3.5
290	3	-0.01380952380952381	0.011901996826138746	290	3.625
290	4	0.02808888888888889	0.018610501823762542	290	3.625
300	3	-0.01361904761904762	0.011886755157633822	300	3.75
300	4	0.027555555555555555	0.018616516069355327	300	3.75
310	3	-0.013714285714285714	0.011879880097454871	310	3.875
310	4	0.02737777777777778	0.018632661804722766	310	3.875
320	3	-0.012952380952380953	0.011863875764339542	320	4.0
320	4	0.025244444444444444	0.018617656299531302	320	4.0
330	3	-0.013333333333333334	0.011843960211895977	330	4.125
330	4	0.026133333333333335	0.018609905870724336	330	4.125
340	3	-0.012952380952380953	0.011827119614943598	340	4.25
340	4	0.026133333333333335	0.018574204454230494	340	4.25
350	3	-0.012952380952380953	0.011830953708531797	350	4.375
350	4	0.025777777777777778	0.018564035631475025	350	4.375
360	3	-0.013714285714285714	0.011803279450437274	360	4.5
360	4	0.026133333333333335	0.01851113442679073	360	4.5
370	3	-0.014	0.011780186123258398	370	4.625
370	4	0.027022222222222222	0.018544287519728052	370	4.625
380	3	-0.01361904761904762	0.011774816175811035	380	4.75
380	4	0.025777777777777778	0.01851459342117514	380	4.75
390	3	-0.014095238095238095	0.011758600978856115	390	4.875
390	4	0.026488888888888888	0.018497424429665794	390	4.875
400	3	-0.014857142857142857	0.011735391041630305	400	5.0
400	4	0.027733333333333332	0.018455349696996786	400	5.0
410	3	-0.014952380952380953	0.011712948627607198	410	5.125
410	4	0.027911111111111112	0.018409884366954832	410	5.125
420	3	-0.016	0.011703585943135142	420	5.25
420	4	0.028266666666666666	0.018408119166713238	420	5.25
430	3	-0.016476190476190478	0.01168493870711264	430	5.375
430	4	0.028444444444444446	0.018391775547551992	430	5.375
440	3	-0.017047619047619048	0.011663143642967484	440	5.5
440	4	0.02968888888888889	0.018375266786071397	440	5.5
450	3	-0.017142857142857144	0.011631986349387812	450	5.625
450	4	0.02808888888888889	0.01835742042796062	450	5.625
460	3	-0.015047619047619048	0.0116071439994148	460	5.75
