frame	abs_C	err	time(s)	field(mT)
0	0.3755368421042868	0.024415649483691584	0.0	0.0
5000	0.37563157894639426	0.024423493716664208	50.0	0.625
10000	0.3748421052621793	0.024365424845951725	100.0	1.25
15000	0.37534736842007527	0.024389586387460513	150.0	1.875
20000	0.37526315789376125	0.024400815756516654	200.0	2.5
25000	0.3758631578937618	0.02442234534105859	250.0	3.125
30000	0.37548421052533837	0.02444786636094331	300.0	3.75
35000	0.37668421052533785	0.02451462629933202	350.0	4.375
40000	0.3781263157885036	0.02459990744951114	400.0	5.0
45000	0.38010526315693893	0.024712301395012536	450.0	5.625
50000	0.38248421052536663	0.024845807847230353	500.0	6.25
55000	0.38559999999906547	0.02505306406893577	550.0	6.875
60000	0.3906526315780357	0.025349206706067752	600.0	7.5
65000	0.39636842105174275	0.025728092780177035	650.0	8.125
70000	0.4019789473675591	0.02612291206105525	700.0	8.75
75000	0.4101684210518138	0.02657227009207742	750.0	9.375
80000	0.4197799884196661	0.027101053307667163	800.0	10.0
85000	0.4304663648797885	0.02772085896815803	850.0	10.625
90000	0.4424338123052405	0.028345966433918908	900.0	11.25
95000	0.4549157894730779	0.028959402179538442	950.0	11.875
100000	0.46650526315732577	0.029593497749770464	1000.0	12.5
105000	0.4769789473678952	0.030034888594890806	1050.0	13.125
110000	0.4871835359751056	0.030482189787328952	1100.0	13.75
115000	0.49652631578904377	0.03088126900659726	1150.0	14.375
120000	0.5063157894732773	0.031263665470444506	1200.0	15.0
125000	0.5145955050262183	0.031548226644820446	1250.0	15.625
130000	0.5209221537972233	0.031754521951738446	1300.0	16.25
135000	0.5282383283327472	0.032100774604686216	1350.0	16.875
140000	0.5360248447202118	0.03219269477355837	1400.0	17.5
145000	0.541389473683922	0.032453544532878416	1450.0	18.125
150000	0.5474315789471011	0.03263567076490238	1500.0	18.75
155000	0.5532631578944781	0.03283217664144623	1550.0	19.375
160000	0.5585473684208071	0.032984867243081764	1600.0	20.0
165000	0.5635626677894183	0.03314528344383007	1650.0	20.625
170000	0.569451023737885	0.03324416009924056	1700.0	21.25
175000	0.5728062325628269	0.03336162883509662	1750.0	21.875
180000	0.5770712706598767	0.033366908040243455	1800.0	22.5
185000	0.5802911062562063	0.03355487512508824	1850.0	23.125
190000	0.5839124026109015	0.033425027619176886	1900.0	23.75
195000	0.5858406148014048	0.03348421918879281	1950.0	24.375
200000	0.5884291429773072	0.03347454766972817	2000.0	25.0
205000	0.5895994526026145	0.03342476032619362	2050.0	25.0
210000	0.5923878711306622	0.03325493791139721	2100.0	25.0
215000	0.5921886514368916	0.03333683104771291	2150.0	25.0
220000	0.5948515476941544	0.033226726145410036	2200.0	25.0
225000	0.595714887344607	0.03322161391274736	2250.0	25.0
230000	0.596947368420966	0.0332644429462802	2300.0	25.0
235000	0.5972834956566739	0.03319560704943417	2350.0	25.0
240000	0.5973571992628613	0.0332280035869907	2400.0	25.0
245000	0.5991683553964114	0.03315738201471414	2450.0	25.0
250000	0.6002316033266122	0.03303258457302335	2500.0	25.0
