p	x_c	y_c
0	18.28954064604357	0.0
1	-18.28954064604357	0.0
2	64.64152193813071	-46.351981292087146
3	28.062440646043573	-46.351981292087146
4	110.99350323021784	0.0
5	74.41442193813072	0.0
6	157.345484522305	-46.351981292087146
7	120.76640323021783	-46.351981292087146
8	203.69746581439213	0.0
9	167.11838452230498	0.0
10	250.04944710647925	-46.351981292087146
11	213.4703658143921	-46.351981292087146
12	296.40142839856634	0.0
13	259.82234710647924	0.0
14	342.7534096906536	-46.351981292087146
15	306.1743283985664	-46.351981292087146
16	389.1053909827407	0.0
17	352.52630969065353	0.0
18	435.45737227482783	-46.351981292087146
19	398.8782909827407	-46.351981292087146
20	481.809353566915	0.0
21	445.2302722748278	0.0
22	528.1613348590022	-46.351981292087146
23	491.5822535669149	-46.351981292087146
24	574.5133161510893	0.0
25	537.9342348590021	0.0
26	620.8652974431762	-46.351981292087146
27	584.2862161510892	-46.351981292087146
28	667.2172787352633	0.0
29	630.6381974431763	0.0
30	713.5692600273504	-46.351981292087146
31	676.9901787352635	-46.351981292087146
32	759.9212413194377	0.0
33	723.3421600273508	0.0
34	806.2732226115248	-46.351981292087146
35	769.6941413194377	-46.351981292087146
36	852.625203903612	0.0
37	816.046122611525	0.0
38	898.9771851956991	-46.351981292087146
39	862.3981039036121	-46.351981292087146
40	18.28954064604357	-92.70396258417429
41	-18.28954064604357	-92.70396258417429
42	64.64152193813071	-139.0559438762614
43	28.062440646043573	-139.0559438762614
44	110.99350323021784	-92.70396258417429
45	74.41442193813072	-92.70396258417429
46	157.345484522305	-139.0559438762614
47	120.76640323021783	-139.0559438762614
48	203.69746581439213	-92.70396258417429
49	167.11838452230498	-92.70396258417429
50	250.04944710647925	-139.0559438762614
51	213.4703658143921	-139.0559438762614
52	296.40142839856634	-92.70396258417429
53	259.82234710647924	-92.70396258417429
54	342.7534096906536	-139.0559438762614
55	306.1743283985664	-139.0559438762614
56	389.1053909827407	-92.70396258417429
57	352.52630969065353	-92.70396258417429
58	435.45737227482783	-139.0559438762614
59	398.8782909827407	-139.0559438762614
60	481.809353566915	-92.70396258417429
61	445.2302722748278	-92.70396258417429
62	528.1613348590022	-139.0559438762614
63	491.5822535669149	-139.0559438762614
64	574.5133161510893	-92.70396258417429
65	537.9342348590021	-92.70396258417429
66	620.8652974431762	-139.0559438762614
67	584.2862161510892	-139.0559438762614
68	667.2172787352633	-92.70396258417429
69	630.6381974431763	-92.70396258417429
70	713.5692600273504	-139.0559438762614
71	676.9901787352635	-139.0559438762614
72	759.9212413194377	-92.70396258417429
73	723.3421600273508	-92.70396258417429
74	806.2732226115248	-139.0559438762614
75	769.6941413194377	-139.0559438762614
76	852.625203903612	-92.70396258417429
77	816.046122611525	-92.70396258417429
