Exp	frame	abs_C	err	time(s)	field(mT)	time	mT
5.0	250000	0.4102005368695622	0.02582019274066194	2500.0	25.0	2500.0	25.0
5.0	105000	0.43276842105191465	0.027878742640373502	1050.0	13.125	1050.0	10.5
5.0	100000	0.4290947368413736	0.027649727081053118	1000.0	12.5	1000.0	10.0
5.0	95000	0.4241263157887157	0.027390240281557104	950.0	11.875	950.0	9.5
5.0	90000	0.4189483657026706	0.02710233421063993	900.0	11.25	900.0	9.0
5.0	85000	0.41309542607424	0.0267241308036577	850.0	10.625	850.0	8.5
5.0	80000	0.4070214221792775	0.0263472729233789	800.0	10.0	800.0	8.0
5.0	75000	0.40249473684124587	0.02605630077131312	750.0	9.375	750.0	7.5
5.0	70000	0.396421052630689	0.02575270311408423	700.0	8.75	700.0	7.0
5.0	65000	0.3925052631569924	0.02545811038825945	650.0	8.125	650.0	6.5
5.0	60000	0.3888315789464456	0.025221924699163047	600.0	7.5	600.0	6.0
5.0	110000	0.43529473684140063	0.02800769813147484	1100.0	13.75	1100.0	11.0
5.0	55000	0.3853684210516899	0.025001249144342333	550.0	6.875	550.0	5.5
5.0	45000	0.3814421052622003	0.02477883887327177	450.0	5.625	450.0	4.5
5.0	40000	0.3802210526306122	0.024692777219168342	400.0	5.0	400.0	4.0
5.0	35000	0.3791157894727139	0.024632447715179005	350.0	4.375	350.0	3.5
5.0	30000	0.3781999999990265	0.0245731612087414	300.0	3.75	300.0	3.0
5.0	25000	0.3772947368411279	0.024515204298623038	250.0	3.125	250.0	2.5
5.0	20000	0.3766105263148043	0.024446845608352214	200.0	2.5	200.0	2.0
5.0	15000	0.3764736842095368	0.02443864184909982	150.0	1.875	150.0	1.5
5.0	10000	0.3761157894726957	0.024431723492583275	100.0	1.25	100.0	1.0
5.0	5000	0.3762842105253312	0.024402325385288068	50.0	0.625	50.0	0.5
5.0	0	0.3764421052621756	0.02440212933930284	0.0	0.0	0.0	0.0
5.0	50000	0.3832631578937911	0.024876578211261886	500.0	6.25	500.0	5.0
5.0	115000	0.43742105263089626	0.028119683485762187	1150.0	14.375	1150.0	11.5
5.0	245000	0.4121381198012804	0.025909781998537437	2450.0	25.0	2450.0	24.5
5.0	125000	0.44015789473617817	0.02813732717833793	1250.0	15.625	1250.0	12.5
5.0	240000	0.411185682325814	0.025884940250226626	2400.0	25.0	2400.0	24.0
5.0	235000	0.4117281676046071	0.02585825985957889	2350.0	25.0	2350.0	23.5
5.0	230000	0.41101342458460893	0.0259221373565583	2300.0	25.0	2300.0	23.0
5.0	225000	0.4120663332447968	0.02595479834670359	2250.0	25.0	2250.0	22.5
5.0	220000	0.4109900521072067	0.02589837484192051	2200.0	25.0	2200.0	22.0
5.0	215000	0.4129066217488658	0.026030928914533312	2150.0	25.0	2150.0	21.5
5.0	205000	0.4139052631571085	0.0261865080448302	2050.0	25.0	2050.0	20.5
5.0	200000	0.4142428548863235	0.02621069943796216	2000.0	25.0	2000.0	20.0
5.0	195000	0.4183368869928398	0.026461743862230082	1950.0	24.375	1950.0	19.5
