frame	type	coordination	number	fraction	err	mT
0	Q = +1	3	12.451612903225806	0.38911290322580644	0.017137096774193547	0.55685714
0	Q = +2	4	2.5517241379310347	0.2835249042145593	0.03425393884973157	0.55685714
0	Q = +3	3	4.096774193548387	0.1280241935483871	0.00909122934036874	0.55685714
0	Q = +4	4	1.4166666666666667	0.15740740740740744	0.028878311108431726	0.55685714
0	Q = -1	3	11.483870967741936	0.3588709677419355	0.018494618771879825	0.55685714
0	Q = -2	4	2.392857142857143	0.2658730158730158	0.028194571920190772	0.55685714
0	Q = -3	3	3.967741935483871	0.12399193548387097	0.011270503918849744	0.55685714
0	Q = -4	4	1.1875	0.13194444444444448	0.011197580205970207	0.55685714
0	Q = 0	4	3.4	0.3777777777777778	0.02588027361734935	0.55685714
100	Q = +1	3	12.290322580645162	0.3840725806451613	0.015755073400099576	0.708552378
100	Q = +2	4	2.642857142857143	0.2936507936507935	0.031929218677657266	0.708552378
100	Q = +3	3	4.064516129032258	0.12701612903225806	0.009042662737987822	0.708552378
100	Q = +4	4	1.5	0.16666666666666669	0.034146460952936615	0.708552378
100	Q = -1	3	11.709677419354838	0.3659274193548387	0.015486180943283485	0.708552378
100	Q = -2	4	2.310344827586207	0.2567049808429119	0.02762874540585433	0.708552378
100	Q = -3	3	3.935483870967742	0.12298387096774194	0.010741131222111936	0.708552378
100	Q = -4	4	1.1333333333333333	0.12592592592592594	0.010094594723988841	0.708552378
100	Q = 0	4	3.533333333333333	0.3925925925925926	0.02754478703057044	0.708552378
200	Q = +1	3	11.96774193548387	0.37399193548387094	0.01777741137958508	0.860247616
200	Q = +2	4	2.5925925925925926	0.2880658436213992	0.03152712141075742	0.860247616
200	Q = +3	3	4.129032258064516	0.12903225806451613	0.00925005624754392	0.860247616
200	Q = +4	4	1.5	0.16666666666666669	0.03795166950355407	0.860247616
200	Q = -1	3	12.35483870967742	0.3860887096774194	0.01610801722339635	0.860247616
200	Q = -2	4	2.3333333333333335	0.25925925925925924	0.029340866197393983	0.860247616
200	Q = -3	3	3.5483870967741935	0.11088709677419355	0.009703984595560251	0.860247616
200	Q = -4	4	1.125	0.12500000000000003	0.009487917375888517	0.860247616
200	Q = 0	4	3.4193548387096775	0.3799283154121864	0.029944944192409208	0.860247616
300	Q = +1	3	12.451612903225806	0.38911290322580644	0.01854948278671205	1.011942854
300	Q = +2	4	2.4074074074074074	0.2674897119341563	0.027980745815191454	1.011942854
300	Q = +3	3	4.0	0.125	0.011010379115900689	1.011942854
300	Q = +4	4	1.4166666666666667	0.1574074074074074	0.031953287703875934	1.011942854
300	Q = -1	3	12.451612903225806	0.38911290322580644	0.01663968180522866	1.011942854
300	Q = -2	4	2.5517241379310347	0.2835249042145593	0.03195765862505747	1.011942854
300	Q = -3	3	3.3333333333333335	0.10416666666666667	0.010088212460656297	1.011942854
