frame	type	coordination	number	fraction	err	time	mT
0	Q = +1	3	174.5	0.37526881720430105	0.008305828119180266	0.0	0.0
0	Q = +3	3	58.3	0.12537634408602152	0.004419516169691281	0.0	0.0
0	Q = -1	3	174.0	0.3741935483870967	0.006815692802296611	0.0	0.0
0	Q = -3	3	58.2	0.12516129032258067	0.0056517285575417965	0.0	0.0
1000	Q = +1	3	174.7	0.3756989247311828	0.008542505283946402	10.0	0.125
1000	Q = +3	3	58.0	0.12473118279569892	0.004216613955513329	10.0	0.125
1000	Q = -1	3	174.5	0.37526881720430105	0.00630865101324496	10.0	0.125
1000	Q = -3	3	57.8	0.1243010752688172	0.006072492784099603	10.0	0.125
2000	Q = +1	3	175.4	0.3772043010752688	0.007957957898998084	20.0	0.25
2000	Q = +3	3	57.7	0.12408602150537636	0.004419516169691283	20.0	0.25
2000	Q = -1	3	174.0	0.3741935483870967	0.005850094842466851	20.0	0.25
2000	Q = -3	3	57.9	0.12451612903225805	0.006086439440036516	20.0	0.25
3000	Q = +1	3	176.1	0.3787096774193549	0.00816354963273218	30.0	0.375
3000	Q = +3	3	57.6	0.12387096774193547	0.004455991474672415	30.0	0.375
3000	Q = -1	3	173.1	0.372258064516129	0.006285802376756382	30.0	0.375
3000	Q = -3	3	58.2	0.12516129032258067	0.006123055628405053	30.0	0.375
4000	Q = +1	3	175.7	0.37784946236559147	0.007950528553450761	40.0	0.5
4000	Q = +3	3	57.8	0.12430107526881723	0.00464347949554169	40.0	0.5
4000	Q = -1	3	173.2	0.37247311827956986	0.006072492784099607	40.0	0.5
4000	Q = -3	3	58.3	0.1253763440860215	0.006166958054194443	40.0	0.5
5000	Q = +1	3	175.5	0.3774193548387096	0.007520051517825179	50.0	0.625
5000	Q = +3	3	57.8	0.1243010752688172	0.004428228017628815	50.0	0.625
5000	Q = -1	3	173.4	0.3729032258064516	0.005745509651473511	50.0	0.625
5000	Q = -3	3	58.3	0.1253763440860215	0.00592905648222286	50.0	0.625
6000	Q = +1	3	175.8	0.3780645161290323	0.007916523407758284	60.0	0.75
6000	Q = +3	3	57.3	0.12322580645161292	0.004372759856630823	60.0	0.75
6000	Q = -1	3	174.1	0.3744086021505376	0.005932522246939231	60.0	0.75
6000	Q = -3	3	57.8	0.1243010752688172	0.006173204341680569	60.0	0.75
7000	Q = +1	3	175.3	0.3769892473118279	0.007813620071684587	70.0	0.875
7000	Q = +3	3	57.7	0.12408602150537636	0.004093560296851392	70.0	0.875
7000	Q = -1	3	173.9	0.373978494623656	0.005368692284832336	70.0	0.875
7000	Q = -3	3	58.1	0.1249462365591398	0.0061368873765805	70.0	0.875
8000	Q = +1	3	175.2	0.3767741935483871	0.007805395033012869	80.0	1.0
8000	Q = +3	3	57.8	0.1243010752688172	0.003975748996089475	80.0	1.0
8000	Q = -1	3	173.8	0.37376344086021507	0.00522658813865468	80.0	1.0
8000	Q = -3	3	58.2	0.12516129032258064	0.006576255163400552	80.0	1.0
9000	Q = +1	3	175.1	0.3765591397849463	0.008257429784447712	90.0	1.125
9000	Q = +3	3	58.4	0.12559139784946236	0.0039550148312928225	90.0	1.125
9000	Q = -1	3	172.9	0.3718279569892473	0.005301267926733857	90.0	1.125
9000	Q = -3	3	58.6	0.1260215053763441	0.006381136368248854	90.0	1.125
10000	Q = +1	3	174.6	0.3754838709677419	0.00780802798806601	100.0	1.25
10000	Q = +3	3	58.6	0.1260215053763441	0.003942000597811474	100.0	1.25
10000	Q = -1	3	173.2	0.3724731182795699	0.005066837862959797	100.0	1.25
10000	Q = -3	3	58.6	0.1260215053763441	0.006445237790104379	100.0	1.25
11000	Q = +1	3	174.6	0.375483870967742	0.0078211794678055	110.0	1.375
11000	Q = +3	3	58.4	0.12559139784946238	0.003514738543980289	110.0	1.375
11000	Q = -1	3	173.2	0.37247311827956986	0.004520109754963289	110.0	1.375
11000	Q = -3	3	58.8	0.1264516129032258	0.006529202888450579	110.0	1.375
12000	Q = +1	3	174.8	0.3759139784946236	0.007323063965087962	120.0	1.5
12000	Q = +3	3	58.2	0.12516129032258067	0.002917131175537748	120.0	1.5
12000	Q = -1	3	173.5	0.3731182795698925	0.004456568040822811	120.0	1.5
12000	Q = -3	3	58.5	0.1258064516129032	0.006413667783781671	120.0	1.5
13000	Q = +1	3	174.5	0.37526881720430105	0.007668910880167308	130.0	1.625
13000	Q = +3	3	58.1	0.1249462365591398	0.003015016608575352	130.0	1.625
13000	Q = -1	3	173.9	0.3739784946236559	0.004435764445707527	130.0	1.625
13000	Q = -3	3	58.5	0.12580645161290324	0.0065641323029111895	130.0	1.625
14000	Q = +1	3	174.7	0.3756989247311828	0.007303741399421204	140.0	1.75
14000	Q = +3	3	57.9	0.12451612903225807	0.003082437275985663	140.0	1.75
14000	Q = -1	3	174.4	0.3750537634408602	0.003967986380816644	140.0	1.75
14000	Q = -3	3	58.0	0.12473118279569895	0.006777890554020251	140.0	1.75
15000	Q = +1	3	174.2	0.3746236559139785	0.007036783479173064	150.0	1.875
