,start,stop
0,35,69
1,70,69
2,69,3
3,35,38
4,34,35
5,-1,68
6,68,3
7,34,68
8,71,61
9,59,61
10,-1,37
11,37,38
12,-1,37
13,34,36
14,36,62
15,67,-1
16,67,34
17,67,59
18,62,26
19,26,115
20,104,-1
21,83,71
22,83,77
23,104,59
24,104,80
25,92,91
26,92,77
27,80,92
28,90,91
29,78,91
30,60,-1
31,59,60
32,115,60
33,39,80
34,39,93
35,-1,94
36,80,79
37,79,78
38,94,93
39,94,95
40,89,54
41,90,89
42,89,101
43,54,78
44,54,9
45,76,-1
46,76,101
47,9,76
48,113,53
49,53,1
50,25,57
51,78,57
52,57,95
53,25,9
54,81,25
55,82,58
56,9,58
57,1,58
58,82,81
59,82,-1
60,44,73
61,44,43
62,23,44
63,73,116
64,42,73
65,51,8
66,51,23
67,51,42
68,75,8
69,5,8
70,72,-1
71,2,116
72,2,70
73,72,42
74,72,3
75,13,4
76,13,42
77,13,5
78,4,3
79,71,4
80,52,41
81,75,52
82,52,30
83,5,41
84,32,41
85,33,85
86,33,30
87,33,32
88,85,12
89,55,85
90,63,-1
91,40,5
92,71,40
93,63,32
94,77,63
95,-1,106
96,105,32
97,55,105
98,106,77
99,90,106
100,56,-1
101,10,12
102,27,10
103,56,55
104,56,96
105,84,-1
106,66,27
107,66,96
108,84,109
109,84,114
110,100,98
111,100,55
112,90,100
113,98,96
114,98,101
115,97,29
116,97,96
117,97,114
118,101,29
119,113,29
120,45,-1
121,45,-1
122,45,112
123,0,15
124,47,15
125,102,-1
126,112,46
127,46,47
128,102,111
129,87,102
130,-1,22
131,14,0
132,43,14
133,47,22
134,22,23
135,48,-1
136,48,47
137,48,87
138,24,23
139,75,24
140,20,88
141,20,111
142,108,20
143,87,88
144,88,49
145,21,17
146,108,21
147,21,49
148,107,17
149,18,17
150,-1,86
151,87,86
152,75,86
153,19,49
154,30,19
155,50,-1
156,49,50
157,18,50
158,31,30
159,12,31
160,16,74
161,107,16
162,16,103
163,74,18
164,74,65
165,99,-1
166,99,103
167,99,65
168,-1,7
169,7,110
170,-1,28
171,18,11
172,12,11
173,28,65
174,27,28
175,6,64
176,65,64
177,64,110
178,27,6
179,109,6
